연번,보고서명,유적사업명,발간기관,제출일,조사시도,조사시군구,주소,조사면적,조사기간,유적성격,시대
525,파주 대능리 유적,파주 조리-법원간 도로확포장공사구간 내 유적,(재)한국도자재단 경기도자박물관,2017-09-22,경기,파주시, ,,,,
526,화성 수촌리 유적,화성시 장안면 수촌리 산238번지 문화재 시굴조사,(재)청구고고연구원,2017-09-22,경기,화성시, ,,,,
527,군포 부곡동 대골유적,군포 부곡동 첨단산업단지부지 내 유적,(재)서울문화유산연구원,2017-09-25,경기,군포시, ,,,,
528,진주 가좌동 39-6번지 유적,신진주 역세권 개발사업지구(1단계-2구역) 내 유적,(재)경상문화재연구원,2017-09-25,경남,진주시, ,,,,
529,용인 신갈동 유적,용인 신갈동 산55-1번지 일원 주유소 조성사업부지,(재)서경문화재연구원,2017-09-26,경기,용인시, ,,,,
530,蔚山中山洞藥水遺蹟IV,울산 북구 매곡중산지구 도시개발사업지구 내 유적,(재)울산문화재연구원,2017-09-27,울산,북구, ,,,,
531,화순 효산리 모산 유적,화순 효산 고인돌 정비사업부지 내 유적,(재)동북아지석묘연구소,2017-09-27,전남,화순군, ,,,,
532,영동 서송원리 유적,영동 서송원지구 농촌용수개발 사업부지 내 유적,(재)한강문화재연구원,2017-09-27,충북,영동군, ,,,,
533,서천 성주리 옥산리 옥남리 유적,장항제련소 주변 토양정화사업 구간내 유적,(재)호남문화재연구원,2017-09-27,충남,서천군, ,,,,
534,김해 장방리 유적,김해 한림~생림간 도로건설공사부지 내 유적,(재)성림문화재연구원,2017-09-27,경남,김해시, ,,,,
535,김포 유현리 유적,제2외곽순환(인천~김포)고속도로 민간투자 사업구간 내 유적,(재)고려문화재연구원,2017-09-28,경기,김포시, ,,,,
536,의성 다인~비안1 도로건설공사부지 내 유적 발굴조사,의성 다인-비안1 국도 건설공사부지 내 유적,(재)해동문화재연구원,2017-09-28,경북,의성군, ,,,,
537,완주 구암리 조선시대 와요지,완주 봉동 구암리 46-25번지외 3필지 내 유적,(재)전라문화유산연구원,2017-09-28,전북,완주군, ,,,,
538,서울 창신동 693-3번지 유적,서울 종로구 종로 291-1 근린생활시설 및 단독주택 신축부지 내 유적,(재)한울문화재연구원,2017-09-28,서울,종로구, ,,,,
539,울진 죽변면 봉평리 487번지 외 공동주택 신축부지 내 蔚珍 鳳坪里 遺蹟,울진군 죽변면 봉평리 487번지 외 공동주택 신축부지 내 유적 발굴조사,(재)삼한문화재연구원,2017-09-28,경북,울진군, ,,,,
540,김해 하계리 내룡리 유적,"고속국도 제600호선 부산외곽순환도로 1,3공구내 유적",(재)경상문화재연구원,2017-09-29,경남,김해시, ,,,,
541,김포 한강신도시 주변도로2단계 문화재 발굴조사 김포 감정ㆍ장기동 유적,김포 한강신도시 주변도로 2단계 건설공사,(재)중원문화재연구원,2017-09-29,경기,김포시, ,,,,
542,나주 월양리 구양유적,나주 몽탄∼동강간 국가지원지방도 확장 구간내 유적(1지역),(재)대한문화재연구원,2017-09-29,전남,나주시, ,,,,
543,진천 구암리 사장골 유적,진천 선수촌 2단계 건립사업부지 내 유적,(재)한국선사문화연구원,2017-09-29,충북,진천군, ,,,,
544,담양 응용리유적,담양 대전천 수질정화공원 조성부지 내 유적 - 변경허가(1차),(재)기호문화재연구원,2017-09-29,전남,담양군, ,,,,
545,포항 강사리 309번지 유적,포항 강사리 309번지 일원 채석장진입도로 부지 내 유적,(재)화랑문화재연구원,2017-09-29,경북,포항시, ,,,,
546,나주 영평리유적,나주IC-동신대간 지방도 확장구간 내 유적,(재)전남문화재연구원,2017-09-29,전남,나주시, ,,,,
547,평택 고덕국제화계획지구 공급시설부지(유물산포지 14) 내 평택 해창리유적,평택 고덕국제화계획지구 공급시설부지 내 유적,(재)경남문화재연구원,2017-09-29,경기,평택시, ,,,,
548,고령 송림리 대가야 토기가마 유적,고령 송림리 대가야 토기가마유적(2차) 학술 발굴조사,(재)영남문화재연구원,2017-10-02,경북,고령군, ,,,,
549,성주 유월리 산45-1번지 유적,성주 월항면 유월리 산45-1번지 일원 공장신축,(재)동북아문화재연구원,2017-10-10,경북,성주군, ,,,,
550,당진 창리 343-1번지 유적,당진 창리 공동주택 부지 내 문화재 발굴(정밀발굴)조사,(재)동방문화재연구원,2017-10-10,충남,당진시, ,,,,
551,고속국도 1호선 언양-영천간 확장공사(3공구) 부지 내 유적Ⅰ 慶州 月山里 聚落· 伊助里 聚落遺蹟 外,고속국도 제1호선 언양-영천 확장공사(제3공구) 부지내 유적,(재)영남문화재연구원,2017-10-11,경북,경주시, ,,,,
552,조천진성,제주 연북정 및 조천진성,(재)제주고고학연구소,2017-10-11,제주,제주시, ,,,,
553,구리 토평동유적,구리-포천 고속도로부지 내 구리 교문동 유적,(재)서울문화유산연구원,2017-10-12,경기,구리시, ,,,,
554,의성 송호리 고분군,다인-비안1 국도건설공사 문화재 정밀발굴조사,경북문화재단 문화재연구원,2017-10-12,경북,의성군, ,,,,
555,김제 반월리ㆍ부용리유적,김제 백구농공단지 조성사업 문화재 발굴조사,(재)경남연구원 역사문화센터,2017-10-16,전북,김제시, ,,,,
556,부여나성-북나성 Ⅴ·Ⅵ,부여 나성(청산성구간) 5차 발굴조사,(재)백제역사문화연구원,2017-10-17,충남,부여군, ,,,,
557,부여나성-북나성 Ⅴ·Ⅵ,부여 나성(청산성구간) 제6차 발굴조사,(재)백제역사문화연구원,2017-10-17,충남,부여군, ,,,,
558,하남 춘궁동 365-1번지 유적,하남 춘궁동 365-1번지 농업시설 부지 내 유적,하남역사박물관,2017-10-18,경기,하남시, ,,,,
559,경주 태종로 686 유적,경주 태종로686 근린생활시설 신축부지 내 유적,(재)서라벌문화재연구원,2017-10-18,경북,경주시, ,,,,
560,이천 가산리 417번지 유적,성남-여주 복선전철 이천 부발차량기지 내 유적,(재)한국문화유산연구원,2017-10-19,경기,이천시, ,,,,
561,만년제 3~5차 시·발굴조사,경기도 기념물 제161호 만년제 3차 정비사업지 내 유적,경기문화재단경기문화재연구원,2017-10-19,경기,화성시, ,,,,
562,"왜관3 일반산업단지 조성사업부지내 칠곡 낙산리유적 Ⅰ-생활·생산유구-, 왜관3 일반산업단지 조성사업부지내 칠곡 낙산리유적Ⅱ -분묘유구-",칠곡 왜관3 일반산업단지 조성사업부지내 문화재 1차 시굴조사,(재)영남문화재연구원,2017-10-19,경북,칠곡군, ,,,,
563,아산 오목리유적,아산 신창면 오목리 191-1번지 일원 외 공장증설부지 내 유적,(재)가경고고학연구소,2017-10-19,충남,아산시, ,,,,
564,제주 사계-인성 유적,서귀포 사계~인성간 농어촌도로 확포장공사 구간 내 유적(2-2구간외),(재)제주고고학연구소,2017-10-19,제주,서귀포시, ,,,,
565,만년제 3~5차 시·발굴조사,만년제 4차 발굴조사,경기문화재단경기문화재연구원,2017-10-19,경기,화성시, ,,,,
566,만년제 3~5차 시·발굴조사,만년제 5차 발굴조사,경기문화재단경기문화재연구원,2017-10-19,경기,화성시, ,,,,
567,원주 법천사Ⅲ,원주 법천사지 7차 발굴조사,(재)강원고고문화연구원,2017-10-20,강원,원주시, ,,,,
568,원주 법천사Ⅲ,사적 제466호 원주 법천사지 8차 발굴조사,(재)강원고고문화연구원,2017-10-20,강원,원주시, ,,,,
569,원주 법천사Ⅲ,원주 법천사지 9차 발굴조사,(재)강원고고문화연구원,2017-10-20,강원,원주시, ,,,,
570,평택 가곡리 유적,평택 진위2 일반산업단지(1단계) 조성부지 내 유적,(재)한울문화재연구원,2017-10-20,경기,평택시, ,,,,
571,보은 우진리 유적,보은 산업단지(2공구)조성사업부지 내 유적,(재)한국선사문화연구원,2017-10-20,충북,보은군, ,,,,
572,원주 법천사Ⅲ,원주 법천사지 10차 발굴조사,(재)강원고고문화연구원,2017-10-20,강원,원주시, ,,,,
573,보은 우진리 유적,보은 산업단지(2공구) 조성사업(제2차)부지 내 유적,(재)한국선사문화연구원,2017-10-20,충북,보은군, ,,,,
574,김천 덕곡동 공동주택부지 내 김천 덕곡동 유적,김천 덕곡동 공동주택부지 내 문화재 발(시)굴조사,(재)홍익문화재연구원,2017-10-20,경북,김천시, ,,,,
575,보령 충청수영성 내아지 1차 발굴조사,보령 충청수영성(사적 제501호) 내부 내아지(발굴),(재)가경고고학연구소,2017-10-20,충남,보령시, ,,,,
576,청주 산남동 217번지 유적,청주 구룡산 도시생태계 서식지 구축사업지역 내 유적,(재)한국선사문화연구원,2017-10-20,충북,청주시, ,,,,
577,거제 둔덕기성,거제 둔덕기성 내 건물지,(재)동아세아문화재연구원,2017-10-23,경남,거제시, ,,,,
578,거제 둔덕기성,거제 둔덕기성,(재)동아세아문화재연구원,2017-10-23,경남,거제시, ,,,,
579,충주 종합스포츠타운 조성부지 내 충주 호암동 유적,충주 종합스포츠타운 조성사업부지 내 유적,(재)중원문화재연구원,2017-10-24,충북,충주시, ,,,,
580,신안 흑산도 무심사지Ⅰ,신안 흑산도 무심사지,(재)전라남도문화재단 전남문화재연구소,2017-10-24,전남,신안군, ,,,,
581,온달산성,단양 온달산성 발굴조사,(재)충청북도문화재연구원,2017-10-24,충북,단양군, ,,,,
582,제주시 일도일동 1226번지 일원 탐라문화광장 조성사업부지 내 정밀발굴조사 보고서-제주 일도동 유적-,제주시 일도일동 1226번지 일원 탐라문화광장 조성사업부지 내 유적,(재)제주문화유산연구원,2017-10-24,제주,제주시, ,,,,
583,제주시 삼양2동 2176-12번지 제2종근린생활 및 단독주택 신축부지내 유적 문화재 발굴조사 보고서-제주 삼양동 유적-,제주시 삼양이동 2176-12번지 근린생활 및 단독주택 신축부지 내 유적,(재)제주문화유산연구원,2017-10-24,제주,제주시, ,,,,
584,慶州 金冠塚(遺構篇),경주 대릉원 일원 금관총 발굴조사,국립중앙박물관,2017-10-25,경북,경주시, ,,,,
585,전주 평화동 대정Ⅲ 유적,전주시 완산구 평화동 공동주택 신축사업 내 유적,(재)호남문화재연구원,2017-10-25,전북,전주시, ,,,,
586,당진 대전리 짚신고개골유적,154kV 당진 합덕변전소 건설사업 문화재 발굴조사,(재)누리고고학연구소,2017-10-25,충남,당진시, ,,,,
587,서산 개심사 팔상전 복원사업 부지 내 유적 문화재 발굴(시굴)조사 보고서,서산 개심사 팔상전 복원사업 부지 내,(재)동방문화재연구원,2017-10-25,충남,서산시, ,,,,
588,단양적성,단양적성(사적 제265호) 북문 일원 보수구간 서벽 발굴조사,(재)한성문화재연구원,2017-10-26,충북,단양군, ,,,,
